step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed,gamma
7100,4,0.020631,4.6527,0.0137,0,0,0,0.9
7150,4,0.009428,4.6390,0.0148,0,0,0,0.9
7200,4,0.010608,4.6527,0.0000,0,0,0,0.9
7250,4,0.010710,4.6527,0.0000,0,0,0,0.9
7300,4,0.017623,4.6527,0.0000,0,0,0,0.9
7350,4,0.010396,4.6527,0.0000,0,0,0,0.9
7400,4,0.013513,4.6527,0.0000,0,0,0,0.9
7450,4,0.011003,4.6527,0.0137,0,0,0,0.9
7500,4,0.014366,4.6527,0.0143,0,0,0,0.9
7550,4,0.011254,4.6390,-0.0137,0,0,0,0.9
7600,4,0.013774,4.6527,0.0000,0,0,0,0.9
7650,4,0.010880,4.6527,0.0000,0,0,0,0.9
7700,4,0.009322,4.5362,0.0000,0,0,0,0.9
7750,4,0.010151,4.6527,0.0000,0,0,0,0.9
7800,4,0.017026,4.6396,0.0000,0,0,0,0.9
7850,4,0.010736,4.6527,0.0000,0,0,0,0.9
7900,4,0.012342,4.6373,-0.0154,0,0,0,0.9
7950,4,0.064138,4.6081,0.0000,0,0,0,0.9
8000,4,0.012775,4.6361,0.0000,0,0,0,0.9
8050,4,0.010666,4.6527,0.0000,0,0,0,0.9
8100,4,0.013776,4.6527,0.0000,0,0,0,0.9
8150,4,0.009959,4.6527,0.0000,0,0,0,0.9
8200,4,0.011060,4.6527,0.0000,0,0,0,0.9
8250,4,0.007796,4.6527,0.0000,0,0,0,0.9
8300,4,0.013465,4.6527,0.0000,0,0,0,0.9
8350,4,0.013442,4.6527,0.0000,0,0,0,0.9
8400,4,0.012639,4.6527,0.0172,0,0,0,0.9
8450,4,0.014861,4.6230,-0.0023,0,0,0,0.9
8500,4,0.010727,4.6527,0.0000,0,0,0,0.9
8550,4,0.014258,4.6076,-0.0148,0,0,0,0.9
8600,4,0.010007,4.6527,0.0000,0,0,0,0.9
8650,4,0.009512,4.6527,0.0000,0,0,0,0.9
8700,4,0.016637,4.6367,0.0000,0,0,0,0.9
8750,4,0.018525,4.6527,0.0000,0,0,0,0.9
8800,4,0.015977,4.6242,0.0000,0,0,0,0.9
8850,4,0.015153,4.6218,-0.0160,0,0,0,0.9
8900,4,0.015332,4.6354,0.0297,0,0,0,0.9
8950,4,0.008975,4.6384,-0.0143,0,0,0,0.9
9000,4,0.008604,4.6379,0.0000,0,0,0,0.9
9050,4,0.010671,4.6229,0.0028,0,0,0,0.9
9100,4,0.008590,4.6361,-0.0166,0,0,0,0.9
9150,4,0.008239,4.6527,0.0160,0,0,0,0.9
9200,4,0.009075,4.6527,0.0000,0,0,0,0.9
9250,4,0.010498,4.6527,0.0000,0,0,0,0.9
9300,4,0.011420,4.6527,0.0000,0,0,0,0.9
9350,4,0.009963,4.5484,0.0000,0,0,0,0.9
9400,4,0.011591,4.6527,0.0000,0,0,0,0.9
9450,4,0.016095,4.6401,0.0028,0,0,0,0.9
9500,4,0.010613,4.5923,0.0000,0,0,0,0.9
9550,4,0.012663,4.6367,-0.0160,0,0,0,0.9
9600,4,0.014832,4.6269,0.0316,0,0,0,0.9
9650,4,0.008340,4.6527,0.0000,0,0,0,0.9
9700,4,0.009856,4.5942,0.0000,0,0,0,0.9
9750,4,0.010870,4.6063,0.0000,0,0,0,0.9
9800,4,0.009786,4.5962,-0.0274,0,0,0,0.9
9850,4,0.010529,4.5908,0.0166,0,0,0,0.9
9900,4,0.013370,4.6236,0.0024,0,0,0,0.9
9950,4,0.010001,4.6070,0.0000,0,0,0,0.9
10000,4,0.014558,4.3670,0.0000,0,0,0,0.9
10050,4,0.011223,4.6092,0.0000,0,0,0,0.9
10100,4,0.009954,4.5489,0.0000,0,0,0,0.9
10150,4,0.014275,4.5930,-0.0126,0,0,0,0.9
10200,4,0.008818,4.6527,0.0000,0,0,0,0.9
10250,4,0.008978,4.6212,-0.0160,0,0,0,0.9
10300,4,0.012326,4.4381,-0.0160,0,0,0,0.9
