step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed,alpha,lambda_ctx
6250,4,0.218738,3.9585,-0.0050,0,0,0,0.0000,0.0
6300,4,0.225027,4.2145,0.3214,0,0,0,0.0000,0.0
6350,4,0.212453,4.0582,0.1191,0,0,0,0.0000,0.0
6400,4,0.205654,3.9199,0.0903,0,0,0,0.0000,0.0
6450,4,0.216356,4.2268,0.2145,0,0,0,0.0000,0.0
6500,4,0.240958,3.9638,0.2254,0,0,0,0.0000,0.0
6550,4,0.222835,3.7800,-0.0971,0,0,0,0.0000,0.0
6600,4,0.240137,3.9955,0.1878,0,0,0,0.0000,0.0
6650,4,0.211994,4.2862,0.1120,0,0,0,0.0000,0.0
6700,4,0.253050,3.8540,0.0385,0,0,0,0.0000,0.0
6750,4,0.257581,3.7959,0.1605,0,0,0,0.0000,0.0
6800,4,0.231890,3.8456,0.1295,0,0,0,0.0000,0.0
6850,4,0.207175,3.7078,0.0208,0,0,0,0.0000,0.0
6900,4,0.224172,4.0636,0.1502,0,0,0,0.0000,0.0
6950,4,0.233871,4.0323,0.0582,0,0,0,0.0000,0.0
7000,4,0.232517,3.7887,-0.0313,0,0,0,0.0000,0.0
7050,4,0.240071,4.2412,0.2910,0,0,0,0.0000,0.0
7100,4,0.246778,3.6856,-0.0457,0,0,0,0.0000,0.0
7150,4,0.223379,3.9131,0.2193,0,0,0,0.0000,0.0
7200,4,0.198981,4.5207,0.0170,0,0,0,0.0000,0.0
7250,4,0.204772,4.2482,0.1462,0,0,0,0.0000,0.0
7300,4,0.175638,4.4495,0.0975,0,0,0,0.0000,0.0
7350,4,0.213285,3.8867,0.1278,0,0,0,0.0000,0.0
7400,4,0.220034,4.1915,0.1824,0,0,0,0.0000,0.0
7450,4,0.211973,4.0763,0.0650,0,0,0,0.0000,0.0
7500,4,0.203033,4.0918,0.1858,0,0,0,0.0000,0.0
7550,4,0.207808,4.2988,0.2991,0,0,0,0.0000,0.0
7600,4,0.208418,4.0635,0.0408,0,0,0,0.0000,0.0
7650,4,0.221511,4.2150,0.0495,0,0,0,0.0000,0.0
7700,4,0.197481,4.2313,0.0290,0,0,0,0.0000,0.0
7750,4,0.193360,4.2389,0.0620,0,0,0,0.0000,0.0
7800,4,0.247255,4.0730,0.1361,0,0,0,0.0000,0.0
7850,4,0.200945,4.1016,-0.0180,0,0,0,0.0000,0.0
7900,4,0.225016,3.9554,0.1851,0,0,0,0.0000,0.0
7950,4,0.222806,4.2720,0.2786,0,0,0,0.0000,0.0
8000,4,0.244218,4.1783,0.1808,0,0,0,0.0000,0.0
8050,4,0.209714,4.1488,0.2218,0,0,0,0.0000,0.0
8100,4,0.189421,4.3524,0.2512,0,0,0,0.0000,0.0
8150,4,0.182911,4.3437,0.0767,0,0,0,0.0000,0.0
